INDEX,DRMMSI,DRLATITUDE,DRLONGITUDE,DRDIRECTION,DRSPEED,DRGPSTIME,STATUS,DRTRUEHEADING,DIRECTION,SP_Status
233,244726000,31.12808833,122.4583633,253.4,5.8,1556443379,0,0,0.4,0
234,244726000,31.12775833,122.45713,253,6,1556443419,0,0,-0.4,0
235,244726000,31.127585,122.4565067,251.7,6.1,1556443439,0,0,-1.3,0
236,244726000,31.12739833,122.455815,252.5,6.6,1556443460,0,0,0.8,0
237,244726000,31.12719833,122.4551267,251.2,7.1,1556443479,0,0,-1.3,0
238,244726000,31.12667667,122.4532333,248.8,8.5,1556443529,0,0,-2.4,0
239,244726000,31.12585167,122.4512667,243.1,9.3,1556443569,0,0,-5.7,0
240,244726000,31.12376167,122.4465083,242.2,10.2,1556443669,0,0,-0.9,0
241,244726000,31.12332667,122.4455117,243.4,10.3,1556443689,0,0,1.2,0
242,244726000,31.122725,122.4440133,245.2,10.4,1556443719,0,0,1.8,0
243,244726000,31.12208,122.4425267,242.9,10.3,1556443749,0,0,-2.3,0
244,244726000,31.12141833,122.44105,243.4,10.2,1556443779,0,0,0.5,0
245,244726000,31.12077333,122.43958,242.7,10.2,1556443809,0,0,-0.7,0
246,244726000,31.12032167,122.4385533,243.6,10.2,1556443830,0,0,0.9,0
247,244726000,31.11991167,122.4376267,243.2,10.1,1556443849,0,0,-0.4,0
248,244726000,31.11904167,122.4356433,243.6,10.1,1556443890,0,0,0.4,0
249,244726000,31.11837333,122.4341517,241.9,10,1556443920,0,0,-1.7,0
250,244726000,31.11774,122.432755,242.8,10.1,1556443950,0,0,0.9,0
251,244726000,31.11733167,122.4318267,242.9,10.2,1556443969,0,0,0.1,0
252,244726000,31.11687833,122.43079,243.3,10.2,1556443990,0,0,0.4,0
253,244726000,31.11646,122.4298017,242.7,10.2,1556444010,0,0,-0.6,0
254,244726000,31.11607833,122.42889,242.1,10.2,1556444029,0,0,-0.6,0
255,244726000,31.11513167,122.4268883,242.9,10.2,1556444070,0,0,0.8,0
256,244726000,31.11426,122.4248917,244.1,10.3,1556444110,0,0,1.2,0
257,244726000,31.11363,122.423465,244.5,10.2,1556444139,0,0,0.4,0
258,244726000,31.11141667,122.418455,245.9,10.2,1556444240,0,0,1.4,0
259,244726000,31.11110333,122.4174767,249.5,10.2,1556444259,0,0,3.6,0
260,244726000,31.11079333,122.41649,249,10.2,1556444278,0,0,-0.5,0
261,244726000,31.11040833,122.415365,248.2,10.2,1556444300,0,0,-0.8,0
262,244726000,31.11005167,122.414425,246.6,10.2,1556444319,0,0,-1.6,0
263,244726000,31.10932667,122.4123283,247,10.2,1556444360,0,0,0.4,0
264,244726000,31.10769,122.4077967,246.1,10.2,1556444450,0,0,-0.9,0
265,244726000,31.10737,122.4067667,251.2,10.1,1556444470,0,0,5.1,0
266,244726000,31.10622,122.4025267,250.8,10.2,1556444550,0,0,-0.4,0
267,244726000,31.10596833,122.4015783,251.4,10.2,1556444569,0,0,0.6,0
268,244726000,31.10552833,122.399955,254.4,10.2,1556444600,0,0,3,0
269,244726000,31.10523833,122.3983917,256.8,10.2,1556444629,0,0,2.4,0
270,244726000,31.10493167,122.3967217,258.1,10.3,1556444660,0,0,1.3,0
271,244726000,31.10461333,122.39517,256.5,10.3,1556444689,0,0,-1.6,0
272,244726000,31.104355,122.393485,264.4,10.2,1556444720,0,0,7.9,0
273,244726000,31.10417833,122.3918917,263.9,10.3,1556444749,0,0,-0.5,0
274,244726000,31.10398,122.3901883,263.8,10.3,1556444780,0,0,-0.1,0
275,244726000,31.10383333,122.38909,260.5,10.3,1556444800,0,0,-3.3,0
276,244726000,31.10364,122.38689,265.5,10.3,1556444840,0,0,5,0
277,244726000,31.103555,122.3852933,268.5,10.3,1556444869,0,0,3,0
278,244726000,31.103435,122.382445,268.3,10.3,1556444920,0,0,-0.2,0
279,244726000,31.10338,122.3813283,265.9,10.4,1556444939,0,0,-2.4,0
280,244726000,31.10327667,122.379095,267.8,10.4,1556444980,0,0,1.9,0
281,244726000,31.10318,122.376895,266.8,10.5,1556445019,0,0,-1,0
282,244726000,31.10296167,122.3723617,266.8,10.3,1556445099,0,0,0,0
283,244726000,31.10287167,122.3702283,268.4,10.1,1556445139,0,0,1.6,0
284,244726000,31.10293833,122.366935,272,10,1556445200,0,0,3.6,0
285,244726000,31.10294333,122.3658517,271.1,10,1556445219,0,0,-0.9,0
286,244726000,31.10296167,122.3642933,271.6,9.9,1556445249,0,0,0.5,0
287,244726000,31.10299333,122.36318,271.9,9.9,1556445270,0,0,0.3,0
288,244726000,31.10304833,122.35998,272.9,9.9,1556445330,0,0,1,0
289,244726000,31.10313667,122.3562283,270,9.9,1556445399,0,0,-2.9,0
290,244726000,31.103215,122.3535617,272.2,9.9,1556445450,0,0,2.2,0
291,244726000,31.10323833,122.35256,271.5,9.9,1556445469,0,0,-0.7,0
292,244726000,31.103335,122.349805,272.6,9.9,1556445520,0,0,1.1,0
293,244726000,31.10331167,122.347185,268.5,9.8,1556445570,0,0,-4.1,0
294,244726000,31.103295,122.34453,269.2,9.8,1556445620,0,0,0.7,0
295,244726000,31.10328167,122.3434733,269.1,9.8,1556445640,0,0,-0.1,0
296,244726000,31.10328667,122.3424183,271.1,9.8,1556445659,0,0,2,0
297,244726000,31.10326,122.339815,269.9,9.9,1556445709,0,0,-1.2,0
298,244726000,31.10325,122.33769,270,9.9,1556445749,0,0,0.1,0
299,244726000,31.10323,122.33657,270,9.9,1556445770,0,0,0,0
300,244726000,31.103225,122.3355533,269.9,9.9,1556445789,0,0,-0.1,0
301,244726000,31.10321333,122.3338933,270.5,9.9,1556445820,0,0,0.6,0
302,244726000,31.10320333,122.3328283,269.7,9.9,1556445839,0,0,-0.8,0
303,244726000,31.103215,122.3312617,271.2,9.9,1556445869,0,0,1.5,0
304,244726000,31.103185,122.3296033,268.8,9.9,1556445899,0,0,-2.4,0
305,244726000,31.10317333,122.328535,269.5,9.9,1556445920,0,0,0.7,0
306,244726000,31.10315333,122.3269217,268.6,9.9,1556445950,0,0,-0.9,0
307,244726000,31.103155,122.3259017,268.7,9.9,1556445969,0,0,0.1,0
