Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,13:51:59,212054000,8.8,120.4462533,32.0332,250
2021-04-19,13:52:18,212054000,8.9,120.4454133,32.03295,250
2021-04-19,13:52:39,212054000,8.9,120.4444133,32.03266,250
2021-04-19,13:52:59,212054000,8.9,120.44348,32.0324,250
2021-04-19,13:53:18,212054000,8.9,120.44256,32.03213,250
2021-04-19,13:53:39,212054000,8.9,120.44168,32.03188,250
2021-04-19,13:53:59,212054000,9,120.4406933,32.03155,250
2021-04-19,13:54:18,212054000,9,120.4398533,32.03128,250
2021-04-19,13:54:48,212054000,9,120.4385067,32.03088,250
2021-04-19,13:55:09,212054000,9,120.4374533,32.03063,249
2021-04-19,13:55:48,212054000,9,120.43568,32.03006,247
2021-04-19,13:56:28,212054000,9,120.4339467,32.02946,247
2021-04-19,13:56:48,212054000,9,120.43304,32.02913,247
2021-04-19,13:57:09,212054000,9.1,120.4320533,32.02878,247
2021-04-19,13:57:39,212054000,9.1,120.4307067,32.0283,247
2021-04-19,13:58:20,212054000,9.1,120.42876,32.02756,247
2021-04-19,13:58:48,212054000,9.1,120.42752,32.02711,247
2021-04-19,13:59:20,212054000,9.1,120.4260667,32.02656,247
2021-04-19,13:59:59,212054000,9.1,120.4242533,32.02595,248
2021-04-19,14:00:39,212054000,9.1,120.4224133,32.02526,248
2021-04-19,14:01:20,212054000,9.1,120.4205067,32.02453,251
2021-04-19,14:01:48,212054000,9,120.4192533,32.02416,250
2021-04-19,14:02:20,212054000,9,120.4177467,32.02375,249
2021-04-19,14:02:39,212054000,9,120.4167867,32.02346,248
2021-04-19,14:03:08,212054000,9,120.4154533,32.02301,248
2021-04-19,14:03:29,212054000,9,120.4145067,32.02273,248
2021-04-19,14:03:49,212054000,9,120.41364,32.02245,248
2021-04-19,14:04:20,212054000,9,120.4122533,32.02201,248
2021-04-19,14:04:59,212054000,9,120.4104133,32.02143,248
2021-04-19,14:05:20,212054000,9,120.4094,32.02111,248
2021-04-19,14:05:39,212054000,9,120.4085733,32.02085,248
2021-04-19,14:06:39,212054000,9,120.4057733,32.01996,245
2021-04-19,14:06:58,212054000,9,120.40496,32.01968,245
2021-04-19,14:07:19,212054000,9,120.40404,32.0194,243
2021-04-19,14:07:49,212054000,9,120.40268,32.01891,241
2021-04-19,14:08:10,212054000,8.9,120.40176,32.01853,240
2021-04-19,14:08:29,212054000,8.9,120.4009067,32.01815,240
2021-04-19,14:08:49,212054000,8.9,120.4,32.01775,239
2021-04-19,14:09:10,212054000,8.9,120.3991067,32.0174,237
2021-04-19,14:09:29,212054000,8.9,120.3983067,32.01701,236
2021-04-19,14:09:49,212054000,8.9,120.3974533,32.01655,235
2021-04-19,14:10:10,212054000,8.9,120.3966133,32.01608,235
2021-04-19,14:10:29,212054000,8.9,120.3959067,32.0157,235
